Nom;Score;Valeur;Image
abricot;3;45.9;abricot.jpg
ananas;2;54.4;ananas.jpg
artichaut;3;47.3;artichaut.jpg
asperge;1;18.6;asperge.jpg
avocat;2;205;avocat.jpg
banane;1;90.5;banane.jpg
brugnon;2;60;brugnon.jpg
carotte;5;31.6;carotte.jpg
cerise;2;55.7;cerise.jpg
champignon de paris;2;21;champignon de paris.jpg
citron;4;27.6;citron.jpg
clementine;4;47.3;clementine.jpg
concombre;3;14.7;concombre.jpg
courgette;3;23;courgette.jpg
endive;2;23.5;endive.jpg
figue;1;69.4;figue.jpg
fraise;1;38.6;fraise.jpg
framboise;0;49.2;framboise.jpg
haricot vert;2;40;haricot vert.jpg
kiwi;3;60.5;kiwi.jpg
mandarine;4;53;mandarine.jpg
mangue;3;73.9;mangue.jpg
melon;2;34;melon.jpg
nectarine;2;44;nectarine.jpg
oignon;4;43.2;oignon.jpg
orange;4;45.5;orange.jpg
pamplemousse;4;42;pamplemousse.jpg
pasteque;4;38.9;pasteque.jpg
peche;2;46.3;peche.jpg
poire;2;53.1;poire.jpg
poireau;4;27.4;poireau.jpg
pomme;4;54.9;pomme.jpg
prune;2;46;prune.jpg
raisin;2;67;raisin.jpg
salade;3;15;salade.jpg
tomate;3;16;tomate.jpg
tomate cerise;3;28;tomate cerise.jpg
choux de bruxelles;3;36;choux de bruxelles.jpg
potiron;4;30.2;potiron.jpg
navet;4;21.1;navet.jpg
rutabaga;3;39;rutabaga.jpg
celeri boule;4;18;celeri boule.jpg
panais;4;58.3;panais.jpg
choux vert ;4;40;choux vert .jpg
topinambour;3;82;topinambour.jpg
radis noir;3;40;radis noir.jpg
mache;2;16.8;mache.jpg
persil;3;43;persil.jpg
ail;5;130;ail.jpg
echalotte;5;66.9;echalotte.jpg
betterave;3;30;betterave.jpg
cresson;2;32;cresson.jpg
chou-fleur;3;26.2;chou-fleur.jpg
courge ;4;25.9;courge .jpg
salsifis;2;68;salsifis.jpg
epinard;2;28.1;epinard.jpg
radis  ;3;14.5;radis  .jpg
rhubarbe;2;21;rhubarbe.jpg
petit pois;2;53;petit pois.jpg
aubergine;3;40;aubergine.jpg
cassis;2;63;cassis.jpg
groseille;2;68.5;groseille.jpg
fenouil;2;13.7;fenouil.jpg
laitue;2;17;laitue.jpg
poivron;3;36.6;poivron.jpg
myrtille;1;57.7;myrtille.jpg
mais;5;103;mais.jpg
mirabelle;1;76.9;mirabelle.jpg
mure;1;45.1;mure.jpg
quetsche;3;57;quetsche.jpg
brocoli;3;28.7;brocoli.jpg
coing;2;57.7;coing.jpg
noisette;5;622;noisette.jpg
noix;5;709;noix.jpg
